番号,名言（英語）,名言の日本語訳,発言者,発言者の情報,深い文法解説,写真のURL
83,A room without books is like a body without a soul.,本のない部屋は、魂のない肉体のようなものだ。,Marcus Tullius Cicero,古代ローマの政治家、哲学者、弁論家。,【名詞の対比】 障害（problems）を、停止（stop signs）ではなく指針（guidelines）と定義し直しています。否定と肯定を並べることで、問題解決へのポジティブな姿勢を強調しています。,-
84,We accept the love we think we deserve.,私たちは、自分にふさわしいと思う愛を受け入れる。,Stephen Chbosky,アメリカの小説家、映画監督。『ウォールフラワー』の著者。,【動名詞の補語と副詞節】 人格（Character）とは「正しいことをすること」であると定義。when節（誰も見ていない時）という条件を加えることで、人格の真価がどこにあるかを明確にしています。,-
85,Always forgive your enemies; nothing annoys them so much.,常に敵を許しなさい。それ以上に彼らを苛立たせるものはない。,Oscar Wilde,アイルランド出身の作家、劇作家。機知に富んだ名言を多く残した。,【前置詞 between】 目標（goals）と達成（accomplishment）の間に、規律（Discipline）という架け橋（bridge）を置く。2つの地点を繋ぐ必須の要素として規律を視覚的に表現しています。,-
86,Be the hero of your own story.,あなた自身の物語のヒーローになりなさい。,Joe Rogan,アメリカのコメディアン、ポッドキャスト司会者。,【名詞句の並置と倒置】 「いつか（One day）」と「初日（day one）」を並べ、究極の選択を迫っています。You decide（あなたが決めるのだ）という強い結びで、今すぐ始める重要性を強調しています。,-
87,Happiness is a warm puppy.,幸せとは、温かい子犬のこと。,Charles M. Schulz,アメリカの漫画家。『ピーナッツ』（スヌーピー）の作者。,【使役的な不定詞】 inspire A to do（Aが〜するよう刺激を与える）。自分の成果（accomplish）よりも、他者への影響（inspire）こそが成功の本質であるという価値観の転換を述べています。,-
88,Do one thing every day that scares you.,毎日ひとつ、自分が怖いと思うことをしなさい。,Eleanor Roosevelt,アメリカのファーストレディ、人権活動家。,【前置詞 over と動詞 lead to】 over time（時間をかけて）。毎日の小さな改善（improvements）が、やがて驚くべき結果（stunning results）に繋がる（lead to）という、複利的な成長の法則を説明しています。,-
89,Well done is better than well said.,立派に行うことは、立派に語ることよりも優れている。,Benjamin Franklin,アメリカの政治家、科学者。実用主義を重んじた。,"【The 比較級, the 比較級】 「〜すればするほど、ますます･･･」。練習（practice）という本人の努力量と、運（luckier）という外的な結果が、実は正比例の関係にあることを示す有名な構文です。",-
90,Success is walking from failure to failure with no loss of enthusiasm.,成功とは、熱意を失わずに失敗から失敗へと歩み続けることだ。,Winston Churchill,イギリスの元首相。第二次世界大戦を乗り切るための強いリーダーシップを発揮した。,【接続詞 until】 until は「〜するまでずっと」。ライバルが憧れの対象（idols）に変わるまで努力を続けろという、圧倒的な成長の基準を提示しています。,-
91,A friend is someone who knows all about you and still loves you.,友達とは、あなたのことをすべて知っていて、それでも愛してくれる人のことだ。,Elbert Hubbard,アメリカの作家、出版者。,【使役的な動詞】 「get A started（Aを始めさせる）」と「keep A going（Aを続けさせる）」。きっかけ（Motivation）と継続（Habit）の役割の違いを、動名詞の補語を使って論理的に対比させています。,-
92,Live as if you were to die tomorrow. Learn as if you were to live forever.,明日死ぬかのように生きよ。永遠に生きるかのように学べ。,Mahatma Gandhi,インドの独立運動指導者。生涯を通じて学び続けた。,【受動態の対比】 be pushed around（振り回される）と be led（導かれる）。頭の中の恐怖（マインド）に従うのではなく、心の中の夢（ハート）に従えという、主導権の転換を求めています。,-
93,No one can make you feel inferior without your consent.,あなたの同意なしに、誰もあなたに劣等感を抱かせることはできない。,Eleanor Roosevelt,アメリカのファーストレディ。女性の権利向上にも尽力した。,【他動詞の選択】 受動的な wait（待つ）を否定し、能動的な create（創り出す）を命令。機会（opportunity）は降ってくるものではなく、自ら作るものだという姿勢を強調しています。,-
94,"To err is human; to forgive, divine.",過ちを犯すのは人間であり、許すのは神の業である。,Alexander Pope,18世紀イギリスの詩人。,【比較級】 速度（speed）よりも方向（direction）が重要であるというSVC。どれだけ速く進んでも、方向が間違っていれば意味がないという優先順位を論理的に示しています。,-
95,Knowledge is power.,知識は力なり。,Francis Bacon,イギリスの哲学者、神学者。経験論の祖と呼ばれる。,【不定詞の名詞的用法】 鍵（key）＝ 集中すること（to focus）。視点を障害（obstacles）から目標（goals）へと意識的に向けるべきだというアドバイスです。,-
96,Sometimes the right path is not the easiest one.,正しい道が、最も簡単な道ではないこともある。,Pocahontas (Disney),ディズニー映画『ポカホンタス』より。自然を愛し、平和を願うキャラクター。,【不定詞の目的】 最高（the best）になるためには、最悪（the worst）に対処できなければならない。対照的な最上級を使い、成功の裏にある忍耐の必要性を説いています。,-
97,You are enough just as you are.,あなたは、今のままのあなたで十分だ。,Meghan Markle,アメリカの元女優、サセックス公爵夫人。,【前置詞 with】 感謝の心（a grateful heart）を持って一日を始める。状態を表す with 句を使い、一日のパフォーマンスが最初の心の持ちようで決まることを示唆しています。,-
98,Let it go.,ありのままで。（手放しなさい）,Elsa (Disney),ディズニー映画『アナと雪の女王』の主題歌より。,【so ... that 構文】 「非常に〜なので、その結果･･･」。今日をあまりにも素晴らしく（awesome）すれば、昨日が嫉妬（jealous）するほどになる。過去を常に超え続ける姿勢を擬人化で表現しています。,-
99,"I came, I saw, I conquered.",来た、見た、勝った。,Julius Caesar,古代ローマの政治家、軍人。,【関係代名詞 who】 勝者（winner）を「諦めない夢想家（dreamer）」と定義。関係代名詞節が勝者の本質を説明し、夢を持ち続けることの重要性を説いています。,-
100,Where there is love there is life.,愛のあるところに命がある。,Mahatma Gandhi,インドの独立運動指導者。愛と非暴力を説いた。,【使役動詞 let】 「let A B（AをBにさせる）」。今抱えている苦しみ（struggle）を自分自身の正体（identity）にしてはいけない。困難はあくまで一時的な状況であり、あなた自身ではないという強いメッセージです。,-
101,The only true wisdom is in knowing you know nothing.,唯一の真の知恵は、自分が何も知らないことを知ることだ（無知の知）。,Socrates,古代ギリシャの哲学者。西洋哲学の基礎を築いた一人。,【他動詞の能動性】 受動的な find（見つける）を否定し、能動的な make（作る）を提示。幸福は「偶然出会うもの」ではなく「自ら構築するもの」であるという対比を強調しています。,-
102,Happiness depends upon ourselves.,幸福は私たち自身にかかっている。,Aristotle,古代ギリシャの哲学者。多岐にわたる学問を体系化した。,【形式主語 It と idiom】 it's up to you で「それはあなた次第だ」という熟語。真の主語は後ろの to make... で、限られた人生をどう味付けするかは自分にかかっていると説いています。,-
103,"To live is the rarest thing in the world. Most people exist, that is all.",生きることは世界で最も稀なことだ。ほとんどの人はただ存在しているだけだ。,Oscar Wilde,アイルランド出身の詩人、作家、劇作家。,【比較級と代名詞】 「どんなに小さなプラス（anything）」でも「何もないマイナス（nothing）」より優れているという SVC。韻を踏んだようなリズムで、行動することの価値を述べています。,-
104,"The mind is its own place, and in itself can make a heaven of hell, a hell of heaven.",心はそれ自身の場所であり、それ自体で地獄を天国にも、天国を地獄にも変えることができる。,John Milton,イギリスの詩人。代表作に叙事詩『失楽園』がある。,【動名詞の補語】 afraid of の後の being different（違っていること）と being the same（同じであること）を対比。個性を失うことへの「正しい恐怖」を教えています。,-
105,What we achieve inwardly will change outer reality.,内面で達成したことは、外の現実を変える。,Plutarch,古代ローマの歴史家、伝記作家。『対比列伝』の著者。,【不定詞の副詞的用法】 「成功するためには（目的）」。unique（唯一無二の）という形容詞を補語に置くことで、他者の真似ではなく独自の道を進む重要性を断定しています。,-
106,"I walk slowly, but I never walk backward.",私は歩みは遅いが、決して後戻りはしない。,Abraham Lincoln,第16代アメリカ合衆国大統領。奴隷解放に尽力した。,【前置詞 on の焦点】 focus on（〜に集中する）。結果としての「目的地（destination）」よりも、過程としての「旅（journey）」にこそ価値があるという対比構造です。,-
107,"The greatest glory in living lies not in never falling, but in rising every time we fall.",生きる上での最大の栄光は、決して転ばないことではなく、転ぶたびに起き上がることにある。,Nelson Mandela,南アフリカ共和国の元大統領。反アパルトヘイト運動の闘士。,【that節と worth -ing】 「believe that...」で確信の内容を説明。「be worth -ing」は「〜する価値がある」という重要構文で、生の肯定を力強く表現しています。,-
108,"If you tell the truth, you don't have to remember anything.",真実を語れば、何も覚えておく必要はない。,Mark Twain,アメリカの作家。『トム・ソーヤの冒険』の著者。,【条件節 If】 思考（dream）と行動（do）を if で繋いでいます。想像できることはすべて実現の可能性があるという、シンプルながらも全能感のある構造です。,-
109,A goal is a dream with a deadline.,目標とは、締め切りのある夢のことだ。,Napoleon Hill,アメリカの著作家。成功哲学の提唱者であり『思考は現実化する』の著者。,【接続詞 as if と強調の does】 「まるで〜であるかのように振る舞え」。最後の It does. は It makes a difference. の繰り返しを避け、事実であることを強調する代動詞です。,-
110,He that can have patience can have what he will.,忍耐を持つことができる者は、望むものを手に入れることができる。,Benjamin Franklin,アメリカの政治家、科学者、著述家。,【as if の並列】 永遠の視点での「夢」と、今日限りの視点での「生」。相反する2つの仮定を並べることで、壮大な理想と切実な実行力を両立させるよう促しています。,-
111,"Good timber does not grow with ease: The stronger wind, the stronger trees.",良い木は容易には育たない。風が強ければ強いほど、木も強くなる。,J. Willard Marriott,マリオット・インターナショナルの創業者。,【動詞 depend upon】 upon は on をより強調した形。幸福という抽象的な状態が、外的な環境ではなく「私たち自身（ourselves）」という内的な要因に依存していることを示しています。,-
112,"If opportunity doesn't knock, build a door.",チャンスがノックしてこないなら、ドアを作れ。,Milton Berle,アメリカのコメディアン、俳優。「ミスター・テレビ」と呼ばれた。,【先行詞 those who】 those who は「〜な人々」。可能性（possible）の範囲を「信じる人（believe）」に限定することで、信念が限界を突破する鍵であることを述べています。,-
113,Nothing will work unless you do.,あなたが行動しない限り、何も機能しない。,Maya Angelou,アメリカの詩人、作家、公民権運動活動家。,【名詞句の定義】 叡智（Wisdom）＝ 報酬（reward）。聞き続ける（listening）という長年の積み重ねが結果として実を結ぶという、因果関係を美しく表現しています。,-
114,"Tough times never last, but tough people do.",困難な時代は続かないが、困難に強い人々は生き残る。,Robert H. Schuller,アメリカのキリスト教牧師、モチベーショナル・スピーカー。,【関係代名詞 that】 anything を先行詞にして、他人の評価を詳しく説明。mind（気にする）を否定することで、他者の言葉に振り回されない心の平穏を説いています。,-
115,"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.",成功に秘密はない。それは準備、勤勉、そして失敗から学ぶことの結果である。,Colin Powell,アメリカの元国務長官。軍人としても最高位まで登り詰めた。,【過去形と前置詞 from】 come from（〜から生じる）。「偉大な成果（Great things）」の出処を明確にし、安住の地（comfort zones）から抜け出す必要性を歴史的事実のように述べています。,-
116,Simplicity is the ultimate sophistication.,シンプルさは究極の洗練である。,Leonardo da Vinci,イタリアのルネサンス期を代表する芸術家、科学者、発明家。,【究極の SVC】 補語に you（あなた自身）を置くことで、外に言い訳を探す余地を消しています。限界は環境ではなく、自分のマインドセットにあるという厳しい真理です。,-
117,"It is our choices, that show what we truly are, far more than our abilities.",私たちが本当にどんな人間かを示すのは、私たちの能力ではなく、私たちの選択である。,J.K. Rowling,イギリスの作家。世界的なベストセラー『ハリー・ポッター』シリーズの著者。,【関係副詞 where】 「隣の芝生は青い」という諺を逆手に取り、水をまく（努力する）場所こそが青くなるのだという、主体的な努力の重要性を比喩で表現しています。,-
118,The secret of getting ahead is getting started.,前進するための秘訣は、始めることだ。,Mark Twain,アメリカの作家。ユーモアと社会風刺に富んだ作品を残した。,【複合関係副詞 Wherever】 「どこへ行こうとも」。場所という外的な条件に関わらず、誠実さ（heart）という内的な態度を貫けという教えです。,-
119,Done is better than perfect.,完璧を目指すより、まずは終わらせろ。,Sheryl Sandberg,アメリカの実業家。Meta（旧Facebook）の元COO。,【主語と補語の入れ替え】 2つの文で A と B の役割を反転させています。成功が幸福を作るのではなく、幸福な状態で取り組むことが成功を呼ぶという逆説的な真理です。,-
120,Doubt kills more dreams than failure ever will.,疑いは、失敗よりも多くの夢を殺す。,Suzy Kassem,アメリカの作家、映画監督、詩人。,【形容詞 fresh】 過去に縛られず、今この瞬間（Every moment）が常に「新しい始まり」であると断定。絶え間ないリセットと再出発を肯定する構造です。,-
121,"You don't have to be great to start, but you have to start to be great.",偉大になるために始める必要はないが、偉大になるためには始めなければならない。,Zig Ziglar,アメリカの自己啓発作家、モチベーショナル・スピーカー。,【動詞 beat と when節】 努力（Hard work）が才能（talent）を打ち負かす条件を提示。才能があっても努力を怠れば、地道な努力に追い抜かれるという現実を論理的に説明しています。,-
122,"If you can dream it, you can do it.",夢見ることができれば、それは実現できる。,Walt Disney,アメリカのアニメーター、実業家。数々の夢の世界を形にした。,【比較級 better】 過去の自分や他人と同じ（same）であることを否定し、より良く（better）なることを追求する。短く力強いリズムでの対比です。,-
123,Everything you can imagine is real.,想像できるものはすべて現実である。,Pablo Picasso,スペイン出身の画家。20世紀最大の芸術家の一人。,【too ... to 構文と助動詞】 「〜するには遅すぎることはない」。「might have been」は「なれたかもしれない自分（過去の可能性）」。過去を悔やむより、今からその理想を目指せと説いています。,-
124,"Courage is resistance to fear, mastery of fear—not absence of fear.",勇気とは恐怖への抵抗であり、恐怖の克服である。恐怖の欠如ではない。,Mark Twain,アメリカの作家。人間の心理や本質を鋭く突く名言が多い。,【不定詞の目的】 大きく勝つ（win big）ための対価として、大きなリスク（big risks）を提示。成功とリスクの比例関係を、have to（〜しなければならない）で強調しています。,-
125,"Keep your eyes on the stars, and your feet on the ground.",目は星に向け、足は地につけておけ。,Theodore Roosevelt,第26代アメリカ合衆国大統領。行動力溢れるリーダーとして知られる。,【Not A but B と関係代名詞】 卓越性（Excellence）を「才能（gift）」ではなく「磨くべき技術（skill）」と再定義。関係代名詞節が、練習が必要であることを補足しています。,-
126,"The harder the conflict, the more glorious the triumph.",闘争が困難であるほど、勝利はより栄光に満ちたものになる。,Thomas Paine,イギリス出身の哲学者、政治活動家。『コモン・センス』の著者。,【言葉の入れ替え/倒置的対比】 challenges と limits の位置を入れ替えています。「挑戦を制限するな、限界に挑戦せよ」。語順を変えるだけで思考の転換を促す見事な表現です。,-
127,"By failing to prepare, you are preparing to fail.",準備を怠ることは、失敗する準備をしているのと同じだ。,Benjamin Franklin,アメリカ建国の父の一人。時間を無駄にしない生き方を説いた。,【自動詞と他動詞の対比】 発生する（happen）という受動的な現象を否定し、創り出す（create）という能動的な行為を肯定。主体の意思を強調しています。,-
128,"Don't count the days, make the days count.",日々を数えるな、日々を価値あるものにしろ。,Muhammad Ali,アメリカの元プロボクサー。カリスマ性で多くの人を魅了した。,【when節の対比】 感情的な理由（tired）での停止を戒め、論理的な完了（done）での停止を推奨。プロフェッショナルな完遂能力を求めています。,-
129,"What hurts you, blesses you. Darkness is your candle.",あなたを傷つけるものは、あなたを祝福する。暗闇はあなたのキャンドルだ。,Rumi,13世紀のペルシャの神秘主義詩人。,【並列構造と動詞 discuss】 知性のレベル（Great/Average/Small）によって、関心の対象（Ideas/Events/People）が変わることをセミコロンで対置。自分の思考の質を問う構造です。,-
130,A champion is defined not by their wins but by how they can recover when they fall.,チャンピオンは勝利によってではなく、倒れたときにどう立ち直るかによって定義される。,Serena Williams,アメリカの元プロテニス選手。女子テニス界の生ける伝説。,【使役動詞 make】 人生そのものがメッセージであるという定義に対し、それを inspiring（刺激を与える、感動的な）ものにせよという命令。存在そのものの影響力を説いています。,-
131,The secret of success is to do the common thing uncommonly well.,成功の秘訣は、当たり前のことを特別にうまくやることだ。,John D. Rockefeller Jr.,アメリカの資本家、実業家。巨大な富を慈善事業にも投じた。,【those who と how far節】 risk -ing は「〜するリスクを負う」。限界（too far）に挑む者だけが、本当の到達点（how far）を知ることができるという、挑戦の独占的価値を述べています。,-
132,Only in the darkness can you see the stars.,暗闇の中でこそ、星を見ることができる。,Martin Luther King Jr.,アメリカの公民権運動の指導者。非暴力抵抗運動を主導した。,【命令文 + or】 「〜しなさい、さもないと･･･」。自分の夢のために動かなければ、他人の夢の道具にされるという、人生の主導権に関する厳しい警告です。,-
133,Great things are done by a series of small things brought together.,偉大なことは、小さなことの積み重ねによって成し遂げられる。,Vincent van Gogh,オランダのポスト印象派の画家。情熱的な筆致で知られる。,【turn into】 「変化して〜になる」。方向（direction）さえ正しければ、どんなに小さな一歩（Small steps）も、人生最大の成果に化ける可能性があるという希望の構造です。,-
134,The only person you are destined to become is the person you decide to be.,あなたがなるように運命づけられている唯一の人は、あなたがなることを決断した人だ。,Ralph Waldo Emerson,アメリカの思想家、哲学者、詩人。個人主義を重んじた。,【第4文型と第3文型】 言葉で「伝える（tell）」のではなく、行動で「見せる（show）」。口先よりも実力と結果を重んじる姿勢を、短い命令文の対比で示しています。,-
135,Make each day your masterpiece.,毎日をあなたの最高傑作にせよ。,John Wooden,アメリカの伝説的なカレッジバスケットボールコーチ。,【数詞の対比】 「七転び八起き」。文法的には非常に簡潔ですが、転倒回数より起き上がる回数を1回多く設定することで、不屈の精神を象徴的に表現しています。,-
136,"No pressure, no diamonds.",プレッシャーがなければ、ダイヤモンドは生まれない。,Thomas Carlyle,イギリスの歴史家、思想家。,【比較級】 一時の完璧さ（perfection）よりも、継続すること（consistency）に価値を置く。学習においても重要な「習慣の力」を論理的に肯定しています。,-
137,A calm sea does not make a skilled sailor.,穏やかな海は、熟練の船乗りを育てない。,African Proverb,アフリカの伝統的なことわざ。,【使役動詞 let】 努力は「静寂（silence）」の中で行い、結果としての成功を「騒音（noise/証明）」にせよ。饒舌な計画よりも、無言の実行を尊ぶ構造です。,-
138,Success usually comes to those who are too busy to be looking for it.,成功はたいてい、それを探し求めるのに忙しすぎる人のもとにやってくる。,Henry David Thoreau,アメリカの作家、思想家、詩人。,【動名詞の保護】 成功の秘訣（secret）＝ 始めること（getting started）。複雑な戦略よりも、最初の一歩を踏み出すという単純な行為が最重要であることを強調しています。,-
139,I never dreamed about success. I worked for it.,私は成功を夢見たことはない。そのために働いたのだ。,Estée Lauder,アメリカの実業家。世界的化粧品ブランド「エスティ ローダー」の創設者。,【同格の that節】 proof（証拠）の内容を that 節が説明。「間違い（Mistakes）＝ 挑戦している証拠」と定義することで、失敗への恐怖を成長への自信に変える構造です。,-
140,"If you really look closely, most overnight successes took a long time.",よく見てみれば、一夜にしての成功のほとんどは長い時間がかかっている。,Steve Jobs,Appleの共同創業者。数多くのイノベーションを起こした。,【that節による修飾】 飛ぶ（fly）という目標のために、自分を重くさせているもの（weighs you down）を捨てろという条件。執着からの解放が飛躍の条件であることを説いています。,-
141,Don't let yesterday take up too much of today.,昨日に今日の時間を多く奪わせるな。,Will Rogers,アメリカのコメディアン、俳優、コラムニスト。,【他動詞の能動性】 機会を待つ（wait for）受動的な姿勢を否定し、自ら創り出す（create）能動性を推奨。コロン（:）により解決策を直結させています。,-
142,You learn more from failure than from success. Don't let it stop you. Failure builds character.,人は成功よりも失敗から多くを学ぶ。失敗を恐れるな。失敗が人格を築く。,Unknown,（詠み人知らず）,【what節の対比】 存在（You）を決定するのは、現在の行動（what you do）であり、将来の宣言（what you say）ではない。実効性を重視する厳しい SVC です。,-
143,Setting goals is the first step in turning the invisible into the visible.,目標を設定することは、目に見えないものを目に見えるものに変える最初のステップだ。,Tony Robbins,アメリカの自己啓発書作家、モチベーショナル・スピーカー。,【過去分詞による後置修飾】 成功 ＝ 合計（sum）。「日々繰り返される（repeated）」という過去分詞句が、努力の継続性を詳しく説明しています。,-
144,Opportunities don't happen. You create them.,機会は偶然起こるものではない。あなたが創り出すものだ。,Chris Grosser,アメリカの起業家。,【so ... (that) 構文】 that が省略されています。あまりにも優秀（good）になれば、周囲はあなたを無視（ignore）できなくなる。実力で状況をねじ伏せる力強さを表現しています。,-
145,"I find that the harder I work, the more luck I seem to have.",懸命に働けば働くほど、より多くの幸運を手にするように思う。,Thomas Jefferson,第3代アメリカ合衆国大統領。独立宣言の主な起草者。,【不定詞の形容詞的用法】 環境の改善（easy life）を願うのではなく、困難に耐えるための「強さ（strength to endure）」を求めよ。主体性を神聖な祈りの形で述べています。,-
146,The way to gain a good reputation is to endeavor to be what you desire to appear.,良い評判を得る方法は、自分がそう見られたいと思う人物になるよう努力することだ。,Socrates,古代ギリシャの哲学者。真の知を追い求めた。,【前置詞 at の場所】 「人生の始まり」という抽象的な出来事が、安住の地の「終わり（end）」という場所で起きる。変化を恐れる境界線こそがスタートラインであるという逆説です。,-
147,Work until your idols become your rivals.,憧れの人（アイドル）がライバルになるまで働き続けろ。,Drake,カナダ出身のラッパー、歌手、俳優。,【動名詞と現在完了/過去】 他者との比較（the best）ではなく、過去の自分（yesterday）との比較。成長の基準を自分自身の内側に置くべきだという論理的な提案です。,-
148,Do not wait to strike till the iron is hot; but make it hot by striking.,鉄が熱くなるまで打つのは待つな。打つことによって熱くせよ。,William Butler Yeats,アイルランドの詩人、劇作家。ノーベル文学賞受賞者。,【名詞の定義】 夢想家（Dreamers）＝ 救世主（saviors）。現実的な解決策を出す人よりも、まず理想を描く人が世界を変えるという、ビジョンの重要性を断定しています。,-
149,"Some people want it to happen, some wish it would happen, others make it happen.",何かが起こることを望む人もいれば、起こるように願う人もいれば、それを実現させる人もいる。,Michael Jordan,アメリカの元プロバスケットボール選手。圧倒的な実行力で数々の記録を打ち立てた。,【韻と対比】 能力（aptitude）よりも態度（attitude）が、到達する高さ（altitude）を決める。似た音の単語を並べることで、記憶に残りやすく、かつ本質的な教訓を伝えています。,-
150,Motivation is what gets you started. Habit is what keeps you going.,モチベーションは始めるためのきっかけであり、習慣はそれを継続させるものだ。,Jim Ryun,アメリカの元陸上競技選手、政治家。,【同等比較 not as ... as】 手に入る「物（what you get）」よりも、変化した「自分（what you become）」の方が重要だという比較。目標達成の真の価値は自己変革にあると説いています。,-
151,"To succeed in your mission, you must have single-minded devotion to your goal.",使命で成功するには、目標に対するひたむきな献身を持たなければならない。,A. P. J. Abdul Kalam,第11代インド大統領、航空宇宙技術者。,【名詞の定義】 幸福を「結果（result）」という受動的なものから、「選択（choice）」という能動的なものへ再定義しています。主語＝補語のシンプルな第2文型（SVC）が、強い意志を感じさせます。,-
152,You can't cross the sea merely by standing and staring at the water.,海をただ見つめて立っているだけでは、海を渡ることはできない。,Rabindranath Tagore,インドの詩人、思想家。アジア初のノーベル賞受賞者。,【使役動詞 let と句動詞】 「let A B（AにBさせる）」。take up は「（時間や場所を）占領する」。過去（yesterday）が現在（today）を支配することを許すなという、擬人化を用いた時間の哲学です。,-
153,"Failure is simply the opportunity to begin again, this time more intelligently.",失敗とは、より賢くやり直すための良い機会に過ぎない。,Henry Ford,フォード・モーターの創設者。,【基本の第3文型】 非常に短い文ですが、主語を Great things（複数形）にすることで、あらゆる価値あるものに共通する「普遍的な真理」であることを示しています。,-
154,The past cannot be changed. The future is yet in your power.,過去は変えられない。未来はまだあなたの力の中にある。,Unknown,（詠み人知らず）,【挿入句と受動態】 when以下が挿入されており「数百万の人によって掛け合わされる（増幅される）と」という条件を補足。小さな行動（Small acts）が世界を変える「巨大な力」に変わる過程を論理的に説明しています。,-
155,What comes easy won't last. What lasts won't come easy.,簡単に手に入るものは長く続かない。長く続くものは簡単には手に入らない。,Unknown,（詠み人知らず）,【現在進行形の対比】 進行形を使うことで「今、挑戦しているかどうか」というライブ感を強調。失敗することと、何かを生み出すことは「同時並行」で起きる不可分なものであると説いています。,-
156,"If you're going through hell, keep going.",もし地獄を通り抜けているのなら、そのまま進み続けなさい。,Winston Churchill,イギリスの元首相。逆境においても決して希望を捨てなかった。,【比較級 better】 「今よりも良い日」が主語。are coming と進行形にすることで、幸運がこちらに向かって一歩ずつ近づいているという「確かな予感」を表現しています。,-
157,The expert in anything was once a beginner.,どんな分野の専門家も、かつては初心者だった。,Helen Hayes,アメリカの女優。演劇界の「ファーストレディ」と呼ばれた。,【関係代名詞 what と busy -ing】 「be busy -ing（〜するのに忙しい）」。人生とは、自分が計画したことではなく、予期せぬ瞬間に起きる「生きた出来事」の連続であるという逆説を what 節で表現しています。,-
158,Don't stop when you're tired. Stop when you're done.,疲れた時に休むな。終わった時に休め。,David Goggins,アメリカの元海軍特殊部隊員、ウルトラマラソン選手。,【不変の定義】 変化（Change）＝ 法（law）。変化を「避けられない自然の決まり」と定義することで、それを受け入れ、適応することの正当性を短い SVC で述べています。,-
159,A year from now you may wish you had started today.,1年後、あなたは「今日始めていればよかった」と思うかもしれない。,Karen Lamb,オーストラリアの作家。,【前置詞 with の起点】 「千里の道も一歩から」。a thousand miles（壮大な目標）と a single step（最小の行動）を対比させ、どんな偉大なことも「今、ここ」から始まることを示しています。,-
160,"We are what we repeatedly do. Excellence, then, is not an act, but a habit.",私たちは、繰り返し行っていることの産物である。ゆえに、卓越性とは行為ではなく習慣である。,Will Durant (often attributed to Aristotle),アメリカの歴史学者、哲学者。（アリストテレスの思想を要約した言葉）,【使役的用法】 前半の wait for（待つ）を否定し、後半の make it perfect（それを完璧にする）で能動性を強調。「完璧な時は来るものではなく、自ら作るものだ」という価値観の転換です。,-
161,Continuous effort - not strength or intelligence - is the key to unlocking our potential.,力や知性ではなく、継続的な努力こそが私たちの可能性を解き放つ鍵である。,Winston Churchill,イギリスの元首相。持ち前の忍耐力で国を導いた。,【不定詞の目的】 失敗を「方向転換（change in direction）」とポジティブに定義。to set... は「あなたを次へと正しく導くための（目的）」であり、失敗が成功の準備段階であることを論理的に説明しています。,-
162,Dreams don't work unless you do.,あなたが働かない限り、夢は働かない。,John C. Maxwell,アメリカのリーダーシップ専門家、作家。,【最上級と不定詞の並列】 方法（way）を修飾する to predict と、結論を述べる to create。未来を「当てる」のではなく「作る」という能動的な姿勢が、語順の対比で強調されています。,-
163,"It's not whether you get knocked down, it's whether you get up.",打ちのめされたかどうかではなく、立ち上がったかどうかが重要だ。,Vince Lombardi,アメリカのアメリカンフットボールの伝説的なコーチ。,【動名詞の補語と what 節】 「成功は欲しいものを得ること」「幸福は得たものを欲しがること（愛すること）」。動詞の get と want を入れ替えることで、外的な成果と内的な満足の違いを鮮やかに表現しています。,-
164,Don't watch the clock; do what it does. Keep going.,時計を見るな。時計と同じように、止まらずに進み続けろ。,Sam Levenson,アメリカのユーモア作家、教師。,【不定詞の目的】 odd（奇妙な、個性的）であることが、number one になるための必須条件（have to）であると説いています。平凡（even）からの脱却を促す言葉遊びです。,-
165,Every moment is a fresh beginning.,すべての瞬間が新しい始まりである。,T.S. Eliot,イギリスの詩人、劇作家。ノーベル文学賞を受賞した。,【命令文的な if と所有代名詞】 theirs は their dreams のこと。自分の夢のために動かなければ、他人の夢（の実現）のために使われることになるという、人生の主導権に関する警告です。,-
166,"Choose a job you love, and you will never have to work a day in your life.",愛する仕事を選びなさい。そうすれば生涯一日も働く必要はない。,Confucius（孔子）,古代中国の思想家、哲学者。儒教の始祖。,【what節と make A B】 困難（Challenges）と克服（overcoming）を主語に配置。それぞれが人生を「面白く（interesting）」し、「意味あるもの（meaningful）」にするという、使役の構造を重ねています。,-
167,Either you run the day or the day runs you.,あなたが一日を支配するか、一日があなたを支配するかのどちらかだ。,Jim Rohn,アメリカの起業家、自己啓発作家。,【前置詞 between と how 節】 つまずきの石（stumbling block）と、踏み台（stepping stone）。同じ物体でも、使い手（how you use）次第で邪魔ものにも武器にもなるという、認識の重要性を説いています。,-
168,I attribute my success to this: I never gave or took any excuse.,私の成功の理由はこれだ。言い訳を一度もしたことがなく、決して受け入れなかったこと。,Florence Nightingale,イギリスの看護師。「近代看護教育の母」と呼ばれる。,【使役動詞 let】 他人の評価（opinion）が、自分自身の現実（reality）になってしまう（become）のを許してはいけない。境界線を引くことの大切さを let を使って表現しています。,-
169,Everything you need is already inside you.,あなたに必要なものはすべて、すでにあなたの中にある。,Bill Bowerman,ナイキ（Nike）の共同創業者、陸上コーチ。,【動名詞の対比】 自分を「探す（finding）」という発見の旅から、「創り上げる（creating）」という構築の旅へ。人生の目的は、自らの中にあるのではなく、これからの行動で作るものだと教えています。,-
